Date,BZ=F,IMOEX.ME,USDRUB=X
2016-05-11,47.599998474121094,1909.050048828125,66.09600067138672
2016-05-12,48.08000183105469,1901.9000244140625,65.04499816894531
2016-05-13,47.83000183105469,1907.18994140625,64.83000183105469
2016-05-16,48.970001220703125,1915.3299560546875,65.48200225830078
2016-05-17,49.279998779296875,1909.0,64.88400268554688
2016-05-18,48.93000030517578,1917.239990234375,64.71900177001953
2016-05-19,48.810001373291016,1891.52001953125,65.74500274658203
2016-05-20,48.720001220703125,1891.3299560546875,66.72000122070312
2016-05-23,48.349998474121094,1868.4300537109375,66.84500122070312
2016-05-24,48.61000061035156,1884.1199951171875,66.78700256347656
2016-05-25,49.7400016784668,1898.75,66.41000366210938
2016-05-26,49.59000015258789,1914.31005859375,65.42500305175781
